Country,Country_Code,Region,Income_Group,Year,Internet_Usage_Pct,Household_Internet_Access_Pct,Smartphone_Adoption_Pct,Mobile_Subscriptions_per_100,Fixed_Broadband_per_100,Avg_Fixed_Download_Speed_Mbps,Avg_Mobile_Download_Speed_Mbps,Network_Coverage_4G_Pct,Availability_5G_Pct,Broadband_Monthly_Cost_USD,Mobile_Data_Cost_per_GB_USD,Connectivity_Cost_Pct_Income,Digital_Literacy_Pct,Urbanization_Pct,Population_Millions
United States,USA,North America,High Income,2018,87.49,96.41,89.68,139.06,32.98,194.43,55.61,99.09,0.0,45.99,1.59,0.54,99.69,93.57,333.0
United States,USA,North America,High Income,2019,88.64,99.8,92.31,138.55,33.8,214.29,60.74,99.9,1.07,45.73,1.56,0.33,99.81,94.02,335.66
United States,USA,North America,High Income,2020,89.56,99.8,95.09,141.89,34.11,229.18,63.87,99.9,8.67,43.61,1.53,0.53,99.9,94.29,338.33
United States,USA,North America,High Income,2021,91.21,99.8,97.42,142.92,34.82,242.63,66.51,99.9,22.45,42.63,1.5,0.52,99.9,94.69,340.99
United States,USA,North America,High Income,2022,91.27,99.8,99.0,146.04,34.62,255.61,71.88,99.9,31.32,41.9,1.35,0.37,99.9,94.9,343.66
United States,USA,North America,High Income,2023,95.55,99.8,99.0,147.99,36.17,269.23,73.61,99.9,41.76,41.11,1.36,0.37,99.9,95.25,346.32
United States,USA,North America,High Income,2024,96.1,99.8,99.0,150.61,36.99,280.76,79.42,99.9,56.3,39.74,1.26,0.3,99.9,95.45,348.98
United States,USA,North America,High Income,2025,97.47,99.8,99.0,151.28,37.49,304.16,83.19,99.9,66.63,40.3,1.14,0.52,99.9,95.77,351.65
Canada,CAN,North America,High Income,2018,83.73,83.23,80.86,125.24,40.81,138.98,75.17,97.87,0.0,30.6,0.93,1.08,94.59,92.36,38.5
Canada,CAN,North America,High Income,2019,84.76,86.53,83.29,130.37,41.2,150.29,82.33,99.9,0.0,28.73,0.94,0.97,94.8,92.73,38.81
Canada,CAN,North America,High Income,2020,88.33,90.01,84.27,131.71,41.31,158.97,86.57,98.17,11.85,28.8,0.9,1.08,95.14,93.02,39.12
Canada,CAN,North America,High Income,2021,87.94,87.84,86.02,130.09,42.48,169.74,91.14,99.9,21.59,28.09,0.84,0.87,95.16,93.53,39.42
Canada,CAN,North America,High Income,2022,89.29,91.15,87.21,134.69,42.94,179.2,97.53,99.9,32.2,26.97,0.61,0.64,95.4,93.6,39.73
Canada,CAN,North America,High Income,2023,92.25,92.55,89.89,135.43,43.21,198.4,101.89,99.9,42.22,26.65,0.81,0.82,95.57,93.9,40.04
Canada,CAN,North America,High Income,2024,94.07,93.29,91.72,138.88,44.25,209.27,108.29,99.9,51.61,25.78,0.86,0.79,95.52,94.27,40.35
Canada,CAN,North America,High Income,2025,94.91,96.84,94.74,138.88,44.32,217.54,113.23,99.9,67.06,26.09,0.47,0.73,95.73,94.61,40.66
Bermuda,BMU,North America,High Income,2018,83.2,91.83,88.87,115.4,41.77,145.92,55.91,99.5,0.0,57.67,1.93,0.93,90.9,89.88,0.06
Bermuda,BMU,North America,High Income,2019,85.82,93.01,89.57,118.6,42.29,153.07,59.19,99.9,0.82,56.74,1.73,0.66,91.13,90.08,0.06
Bermuda,BMU,North America,High Income,2020,87.37,92.21,90.69,121.09,42.54,169.05,62.26,99.9,11.5,56.27,1.79,0.74,91.28,90.29,0.06
Bermuda,BMU,North America,High Income,2021,88.27,95.49,91.73,122.05,43.51,179.56,70.39,99.9,23.8,56.84,1.71,0.8,91.44,90.69,0.06
Bermuda,BMU,North America,High Income,2022,89.64,96.59,96.7,123.62,44.66,186.89,72.54,99.9,30.65,54.08,1.57,0.88,91.87,90.87,0.06
Bermuda,BMU,North America,High Income,2023,90.3,98.07,94.5,129.12,45.04,206.54,75.0,99.9,46.98,53.85,1.45,0.79,92.07,91.48,0.06
Bermuda,BMU,North America,High Income,2024,92.45,99.8,99.0,127.17,45.45,220.92,78.68,99.9,53.63,51.31,1.46,0.86,92.24,91.62,0.06
Bermuda,BMU,North America,High Income,2025,94.89,99.8,99.0,128.54,46.44,226.24,83.19,99.9,62.73,50.41,1.28,0.77,92.35,91.89,0.06
Germany,DEU,Europe & Central Asia,High Income,2018,87.9,85.28,87.08,116.16,48.22,116.24,108.78,95.24,0.0,42.59,1.41,0.68,99.58,92.21,83.8
Germany,DEU,Europe & Central Asia,High Income,2019,88.12,85.35,88.56,118.2,48.13,130.02,116.28,97.04,0.02,43.14,1.46,0.56,99.73,92.47,84.47
Germany,DEU,Europe & Central Asia,High Income,2020,91.32,87.26,90.12,121.62,48.92,137.62,124.09,98.37,7.33,41.45,1.26,0.59,99.9,92.75,85.14
Germany,DEU,Europe & Central Asia,High Income,2021,91.97,89.83,91.88,120.84,50.28,142.81,133.88,98.44,21.68,41.37,1.16,0.82,99.9,93.21,85.81
Germany,DEU,Europe & Central Asia,High Income,2022,94.73,90.01,94.12,123.66,50.16,154.47,140.57,99.67,32.12,39.86,1.16,0.67,99.9,93.35,86.48
Germany,DEU,Europe & Central Asia,High Income,2023,93.94,90.32,95.88,124.99,51.03,164.79,147.55,99.9,43.45,39.17,1.15,0.9,99.9,93.62,87.15
Germany,DEU,Europe & Central Asia,High Income,2024,98.1,92.64,98.56,126.26,51.86,174.83,154.62,99.9,51.51,38.11,0.9,0.47,99.9,93.74,87.82
Germany,DEU,Europe & Central Asia,High Income,2025,98.56,95.19,99.0,128.93,53.19,179.21,164.61,99.9,66.24,38.39,0.94,0.64,99.9,94.19,88.49
United Kingdom,GBR,Europe & Central Asia,High Income,2018,97.16,94.67,88.77,152.69,30.86,108.23,53.6,95.81,0.0,38.01,0.75,1.99,93.52,79.25,67.3
United Kingdom,GBR,Europe & Central Asia,High Income,2019,98.44,97.72,89.82,152.88,32.13,119.75,56.66,97.16,2.83,38.09,0.75,1.5,93.89,79.51,67.84
United Kingdom,GBR,Europe & Central Asia,High Income,2020,99.5,99.48,90.64,155.87,33.22,126.11,61.45,97.94,12.17,37.06,0.62,1.56,93.95,79.97,68.38
United Kingdom,GBR,Europe & Central Asia,High Income,2021,99.5,99.8,93.47,157.03,33.08,140.18,65.87,98.95,22.66,35.95,0.59,1.48,94.15,80.22,68.92
United Kingdom,GBR,Europe & Central Asia,High Income,2022,99.5,99.8,95.89,158.97,33.67,143.71,70.21,99.9,35.35,35.7,0.59,1.53,94.49,80.55,69.45
United Kingdom,GBR,Europe & Central Asia,High Income,2023,99.5,99.8,95.98,161.44,35.06,154.05,71.95,99.9,43.03,34.11,0.68,1.37,94.38,80.7,69.99
United Kingdom,GBR,Europe & Central Asia,High Income,2024,99.5,99.8,98.75,164.11,35.13,163.2,74.88,99.9,52.51,33.4,0.57,1.2,94.74,81.12,70.53
United Kingdom,GBR,Europe & Central Asia,High Income,2025,99.5,99.8,99.0,163.51,36.35,169.69,80.22,99.9,65.19,32.91,0.31,1.44,94.8,81.36,71.07
France,FRA,Europe & Central Asia,High Income,2018,89.87,83.99,92.8,119.5,49.59,209.97,69.03,94.65,0.0,54.13,1.57,1.66,97.65,74.01,67.8
France,FRA,Europe & Central Asia,High Income,2019,91.68,83.63,93.27,118.55,49.93,222.31,74.1,95.52,0.0,53.38,1.49,1.37,97.92,74.27,68.34
France,FRA,Europe & Central Asia,High Income,2020,93.82,85.91,95.07,121.86,51.66,243.0,77.96,95.69,12.14,51.48,1.38,1.62,98.13,74.59,68.88
France,FRA,Europe & Central Asia,High Income,2021,92.43,89.11,98.37,124.58,51.86,259.71,83.45,97.59,21.15,50.87,1.4,1.53,98.11,74.73,69.43
France,FRA,Europe & Central Asia,High Income,2022,96.54,90.9,97.18,125.09,52.32,281.86,86.04,98.9,32.88,49.62,1.44,1.25,98.45,75.23,69.97
France,FRA,Europe & Central Asia,High Income,2023,97.53,92.82,99.0,128.65,52.34,296.42,90.3,98.43,44.75,48.83,1.26,1.47,98.75,75.58,70.51
